"recno";"numfor";"razsoc";"fantasia";"endfor";"telfor1";"telfor2";"faxfor";"baifor";"cidfor";"estfor";"cepfor";"cgcfor";"iefor";"repres";"endrep";"telrep1";"telrep2";"faxrep";"cidrep";"estrep";"ceprep";"cgcrep";"ierep";"datae";"usuario";"email";"mexeu";"bairep"
"386";"388";"FG DISTRIBUIDORA DE PECAS E ACESSORIOS LTDA       ";"VK 4X4 DISTRIBUIDORA                              ";"AVENIDA MARECHAL MASCARENHAS DE MORAE,701D        ";"(081)-3447-1930  ";"                 ";"            ";"IMBIRIBEIRA         ";"RECIFE                 ";"PE";"51150-000";"11.411.173/0001-19";"038943638         ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"20/09/2024";"1-MATHEUS ";"                          ";"Ninguem   ";"                    "
"385";"387";"MP LUB DISTRIBUIDORA LTDA                         ";"MP LUB DISTRIBUIDORA                              ";"AVENIDA DA RECUPERACAO 2                          ";"(081)-3265-8585  ";"                 ";"            ";"PASSARINHO          ";"RECIFE                 ";"PE";"52091-010";"12.599.809/0001-60";"000152536         ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"13/06/2024";"1-MATHEUS ";"                          ";"Ninguem   ";"                    "
"384";"386";"MOOVEN MOBILIDADE E TECNOLOGIA LTDA               ";"MOOVEN MOBILIDADE E TECNOLOGIA                    ";"RUA ITAJAI 500                                    ";"(081)-99761-8347 ";"                 ";"            ";"IMBIRIBEIRA         ";"RECIFE                 ";"PE";"51200-020";"51.499.615/0001-45";"111878403         ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"20/05/2024";"1-MATHEUS ";"                          ";"Ninguem   ";"                    "
"383";"385";"COMLUB COMERCIAL DE LUBRIFICANTES S/A             ";"COMLUB COMERCIAL DE LUBRIFICANTES S/A             ";"RODOVIA BR 101 SUL ,10250                         ";"(082)-21228666   ";"                 ";"            ";"CABO DE SANTO AGOST.";"JABOATAO DOS GUARARAPES";"PE";"54590-000";"24.313.827/0003-85";"018235239         ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"11/08/2023";"1-MATHEUS ";"                          ";"Ninguem   ";"                    "
"382";"384";"PNB LUBRIFICANTES LTDA                            ";"PNB LUB DISTRIBUIDOR DE LUBRIFICANTES             ";"RODOVIA BR-101 SUL,5225                           ";"(081)-3366-4260  ";"                 ";"            ";"CABO DE SANTO AGOSTI";"JABOATAO               ";"PE";"54503-900";"49.065.823/0001-94";"108256731         ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"19/07/2023";"1-MATHEUS ";"                          ";"Ninguem   ";"                    "
"381";"383";"REGENCE VEICULOS PECAS E SERVICOS LTDA            ";"RENAULT REGENCE                                   ";"AVENIDA NORTE MIGUEL ARRAES DE ALENCAR            ";"(081)-99607-5030 ";"                 ";"            ";"ESPINHEIRO          ";"RECIFE                 ";"PE";"52021-000";"09.941.977/0001-88";"036883999         ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"10/07/2023";"1-MATHEUS ";"                          ";"Ninguem   ";"                    "
"380";"382";"AUTO PECAS PADRE CICERO LTDA                      ";"PADRE CICERO                                      ";"RUA SANTOS ARAUJO NUMERO 90                       ";"                 ";"                 ";"            ";"AFOGADOS            ";"RECIFE PE              ";"PE";"50770-270";"07.965.809/0032-01";"10.49022-13       ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"23/05/2023";"1-MATHEUS ";"                          ";"Ninguem   ";"                    "
"379";"381";"B C H COMERCIO DE PECAS LTDA                      ";"HC DISTRIBUIDORA DE PECAS                         ";"AVENIDA ENGENHEIRO ABDIAS DE CARVALHO  2864       ";"(081)-3225-6602  ";"                 ";"            ";"TORROES             ";"RECIFE                 ";"PE";"50640-785";"09.358.419/0001-94";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"06/04/2023";"1-MATHEUS ";"81 3225-6602              ";"Ninguem   ";"                    "
"378";"380";"EXTREMO DISTRIBUIDORA DE PNEUS E PECAS DE PERNAMBU";"EXTREMO DISTRIBUIDORA                             ";"RUA RIO JACARE 25                                 ";"(075)-99909-9515 ";"                 ";"            ";"JOSE E MARIA        ";"PETROLINA              ";"PE";"56320-040";"44.205.476/0001-34";"                  ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"19/01/2023";"1-MATHEUS ";"                          ";"Ninguem   ";"                    "
"377";"379";"MG VIDROS AUTOMOTIVOS LTDA                        ";"AUTOGLASS                                         ";"RUA MANTENA N 230-GP 01                           ";"(02 )-72121-5501 ";"                 ";"            ";"JARDIM JORDAO       ";"JABOATAO DOS GUARARAPES";"PE";"54315-200";"07.571.746/0020-67";"042351502         ";"                                                  ";"                                                  ";"                 ";"                 ";"            ";"                       ";"  ";"         ";"                  ";"                  ";"07/10/2022";"1-MATHEUS ";"02) 72121-5501            ";"Ninguem   ";"                    "
